;deterministic;time
145;3,27;2019-03-10 06:00:00
146;3,26;2019-03-10 09:00:00
147;3,33;2019-03-10 12:00:00
148;3,45;2019-03-10 15:00:00
149;3,5700000000000003;2019-03-10 18:00:00
150;3,74;2019-03-10 21:00:00
151;3,98;2019-03-11 00:00:00
152;4,29;2019-03-11 03:00:00
153;4,69;2019-03-11 06:00:00
154;5,1000000000000005;2019-03-11 09:00:00
155;5,48;2019-03-11 12:00:00
156;5,94;2019-03-11 15:00:00
157;6,47;2019-03-11 18:00:00
158;6,82;2019-03-11 21:00:00
159;6,67;2019-03-12 00:00:00
160;6,19;2019-03-12 03:00:00
161;5,5600000000000005;2019-03-12 06:00:00
162;5,16;2019-03-12 09:00:00
163;5,0600000000000005;2019-03-12 12:00:00
164;4,96;2019-03-12 15:00:00
165;4,8500000000000005;2019-03-12 18:00:00
166;4,75;2019-03-12 21:00:00
167;4,63;2019-03-13 00:00:00
168;4,47;2019-03-13 03:00:00
169;4,26;2019-03-13 06:00:00
170;4,05;2019-03-13 09:00:00
171;3,87;2019-03-13 12:00:00
172;3,75;2019-03-13 15:00:00
173;3,72;2019-03-13 18:00:00
174;3,68;2019-03-13 21:00:00
175;3,5700000000000003;2019-03-14 00:00:00
176;3,44;2019-03-14 03:00:00
177;3,3200000000000003;2019-03-14 06:00:00
178;3,22;2019-03-14 09:00:00
179;3,15;2019-03-14 12:00:00
180;3,09;2019-03-14 15:00:00
181;3,0500000000000003;2019-03-14 18:00:00
182;2,99;2019-03-14 21:00:00
183;2,91;2019-03-15 00:00:00
184;2,84;2019-03-15 03:00:00
185;2,77;2019-03-15 06:00:00
186;2,72;2019-03-15 09:00:00
187;2,69;2019-03-15 12:00:00
188;2,68;2019-03-15 15:00:00
189;2,72;2019-03-15 18:00:00
190;2,75;2019-03-15 21:00:00
191;2,73;2019-03-16 00:00:00
192;2,7;2019-03-16 03:00:00
193;2,7;2019-03-16 06:00:00
194;2,72;2019-03-16 09:00:00
195;2,71;2019-03-16 12:00:00
196;2,71;2019-03-16 15:00:00
197;2,77;2019-03-16 18:00:00
198;2,8000000000000003;2019-03-16 21:00:00
199;2,78;2019-03-17 00:00:00
200;2,73;2019-03-17 03:00:00
201;2,66;2019-03-17 06:00:00
202;2,58;2019-03-17 09:00:00
203;2,5;2019-03-17 12:00:00
204;2,44;2019-03-17 15:00:00
205;2,39;2019-03-17 18:00:00
206;2,35;2019-03-17 21:00:00
207;2,31;2019-03-18 00:00:00
208;2,25;2019-03-18 03:00:00
209;2,18;2019-03-18 06:00:00
210;2,18;2019-03-18 09:00:00
211;2,36;2019-03-18 12:00:00
212;2,44;2019-03-18 15:00:00
213;2,48;2019-03-18 18:00:00
214;2,49;2019-03-18 21:00:00
215;2,47;2019-03-19 00:00:00
216;2,43;2019-03-19 03:00:00
217;2,42;2019-03-19 06:00:00
218;2,41;2019-03-19 09:00:00
219;2,41;2019-03-19 12:00:00
220;2,38;2019-03-19 15:00:00
221;2,37;2019-03-19 18:00:00
222;2,33;2019-03-19 21:00:00
223;2,26;2019-03-20 00:00:00
224;2,19;2019-03-20 03:00:00
225;2,14;2019-03-20 06:00:00
226;2,14;2019-03-20 09:00:00
227;2,16;2019-03-20 12:00:00
228;2,18;2019-03-20 15:00:00
229;2,18;2019-03-20 18:00:00
230;2,13;2019-03-20 21:00:00
231;2,03;2019-03-21 00:00:00
232;1,93;2019-03-21 03:00:00
233;1,87;2019-03-21 06:00:00
234;1,82;2019-03-21 09:00:00
235;1,8;2019-03-21 12:00:00
236;1,83;2019-03-21 15:00:00
237;1,95;2019-03-21 18:00:00
238;2,09;2019-03-21 21:00:00
239;2,2;2019-03-22 00:00:00
240;2,25;2019-03-22 03:00:00
241;2,23;2019-03-22 06:00:00
242;2,23;2019-03-22 09:00:00
243;2,2;2019-03-22 12:00:00
244;2,16;2019-03-22 15:00:00
245;2,12;2019-03-22 18:00:00
246;2,08;2019-03-22 21:00:00
247;2,03;2019-03-23 00:00:00
248;2,0;2019-03-23 03:00:00
249;1,99;2019-03-23 06:00:00
250;2,0;2019-03-23 09:00:00
251;2,06;2019-03-23 12:00:00
252;2,24;2019-03-23 15:00:00
253;2,45;2019-03-23 18:00:00
254;2,54;2019-03-23 21:00:00
255;2,56;2019-03-24 00:00:00
256;2,56;2019-03-24 03:00:00
257;2,56;2019-03-24 06:00:00
258;2,54;2019-03-24 09:00:00
259;2,5;2019-03-24 12:00:00
260;2,47;2019-03-24 15:00:00
261;2,48;2019-03-24 18:00:00
262;2,49;2019-03-24 21:00:00
263;2,47;2019-03-25 00:00:00
264;2,42;2019-03-25 03:00:00
265;2,36;2019-03-25 06:00:00
266;2,32;2019-03-25 09:00:00
267;2,28;2019-03-25 12:00:00
268;2,25;2019-03-25 15:00:00
269;2,25;2019-03-25 18:00:00
270;2,26;2019-03-25 21:00:00
271;2,31;2019-03-26 00:00:00
272;2,41;2019-03-26 03:00:00
273;2,61;2019-03-26 06:00:00
274;2,71;2019-03-26 09:00:00
275;2,66;2019-03-26 12:00:00
276;2,63;2019-03-26 15:00:00
277;2,7;2019-03-26 18:00:00
278;2,8000000000000003;2019-03-26 21:00:00
279;2,88;2019-03-27 00:00:00
