,timestamp,Wvht,peakPeriod,meanPeriod,peakDirection,peakDirectionalSpread,meanDirection,meanDirectionalSpread,latitude,longitude
0,2020-10-08 21:00:00,2.1245000000000003,8.692499999999999,5.9435,182.2885,29.773,155.76100000000002,49.1395,-25.32674,-4.438925
1,2020-10-09 00:00:00,2.0893333333333337,8.475333333333333,6.122333333333333,172.07833333333335,31.963666666666665,160.07333333333335,48.93166666666667,-25.32392,-4.457533333333333
2,2020-10-09 03:00:00,1.8843333333333334,8.475333333333333,6.295999999999999,171.50633333333334,32.35833333333334,159.32466666666667,49.663999999999994,-25.31938333333333,-4.475593333333333
3,2020-10-09 06:00:00,1.8756666666666666,9.540000000000001,6.684333333333334,193.2063333333333,28.384666666666664,163.5426666666667,51.05433333333334,-25.312293333333333,-4.485813333333334
4,2020-10-09 09:00:00,1.8933333333333333,10.779000000000002,6.469333333333334,215.93566666666666,25.29733333333333,159.77966666666669,51.28933333333333,-25.29919666666667,-4.5015
5,2020-10-09 12:00:00,1.9270000000000003,7.410666666666667,6.183333333333334,131.351,30.746,147.43300000000002,50.70333333333334,-25.28568,-4.526973333333333
6,2020-10-09 15:00:00,1.9103333333333332,7.410666666666667,5.975333333333334,123.63266666666665,31.392666666666667,136.819,51.31133333333333,-25.276323333333334,-4.558786666666666
7,2020-10-09 18:00:00,1.934,7.2363333333333335,5.800000000000001,120.82666666666667,32.80433333333334,126.10233333333333,50.852666666666664,-25.274936666666665,-4.594263333333333
8,2020-10-09 21:00:00,2.035,6.9510000000000005,5.728999999999999,110.88133333333333,31.040000000000003,111.94366666666667,48.855999999999995,-25.27983,-4.624206666666667
9,2020-10-10 00:00:00,1.9563333333333333,7.062,5.824000000000001,108.903,31.19666666666667,109.081,46.55133333333333,-25.28664333333333,-4.644263333333334
10,2020-10-10 03:00:00,1.886,7.410666666666667,5.7459999999999996,109.93299999999999,30.939666666666668,107.99933333333335,46.75533333333333,-25.294966666666667,-4.663396666666666
11,2020-10-10 06:00:00,1.846,7.410666666666667,5.648,108.93233333333335,28.994333333333334,103.80133333333333,44.836000000000006,-25.302336666666665,-4.6803333333333335
12,2020-10-10 09:00:00,1.7263333333333335,7.2363333333333335,5.62,107.86433333333332,31.158666666666665,103.14833333333333,45.051666666666655,-25.304100000000002,-4.69221
13,2020-10-10 12:00:00,1.609,7.062,5.517,102.76333333333334,34.599333333333334,100.02933333333334,44.81333333333333,-25.301073333333335,-4.7091433333333335
14,2020-10-10 15:00:00,1.4946666666666666,7.062,5.6753333333333345,103.04733333333333,31.700333333333333,100.03000000000002,45.062333333333335,-25.300156666666666,-4.729346666666666
15,2020-10-10 18:00:00,1.4313333333333331,6.91,5.781,100.10466666666667,29.980666666666668,99.11666666666667,45.100666666666676,-25.30362666666667,-4.749053333333333
16,2020-10-10 21:00:00,1.4633333333333336,7.062,5.691,102.871,31.50566666666667,98.91966666666667,42.72733333333334,-25.307850000000002,-4.77002
17,2020-10-11 00:00:00,1.455,6.91,5.343,98.64866666666667,34.112,94.084,45.22466666666667,-25.313956666666666,-4.795123333333334
18,2020-10-11 03:00:00,1.4580000000000002,7.062,5.405333333333334,102.25166666666667,32.507,96.64066666666668,45.68266666666667,-25.322253333333336,-4.81496
19,2020-10-11 06:00:00,1.3576666666666668,7.062,5.625,106.57566666666668,31.56866666666666,99.89633333333332,46.33766666666667,-25.326323333333335,-4.834173333333333
20,2020-10-11 09:00:00,1.383,7.585,5.8999999999999995,109.76300000000002,29.152,103.38933333333334,45.12766666666667,-25.333370000000002,-4.850666666666666
21,2020-10-11 12:00:00,1.4506666666666668,7.410666666666667,5.832,105.87766666666668,29.973,101.622,45.46766666666667,-25.34772666666667,-4.86515
22,2020-10-11 15:00:00,1.4293333333333333,7.585,5.959666666666666,109.04933333333334,29.675666666666668,104.59833333333331,46.244,-25.36220333333333,-4.872433333333333
23,2020-10-11 18:00:00,1.3636666666666664,7.585,6.024,106.10833333333333,32.187333333333335,105.593,48.82933333333333,-25.37425,-4.8780399999999995
24,2020-10-11 21:00:00,1.3536666666666666,7.410666666666667,6.155333333333334,104.66833333333334,32.92033333333333,106.80066666666666,48.937000000000005,-25.383773333333334,-4.885226666666667
25,2020-10-12 00:00:00,1.3413333333333333,8.227333333333332,6.406333333333333,126.97733333333333,38.204,108.96633333333334,50.108666666666664,-25.388846666666666,-4.89402
26,2020-10-12 03:00:00,1.388,8.307333333333334,6.590333333333334,115.79433333333333,36.73,108.02499999999999,50.792,-25.389093333333335,-4.902363333333334
27,2020-10-12 06:00:00,1.3596666666666668,7.850666666666666,6.616666666666667,117.68966666666665,41.635666666666665,113.50466666666667,53.88966666666667,-25.392066666666665,-4.91624
28,2020-10-12 09:00:00,1.3419999999999999,8.465,6.987333333333335,122.23633333333333,41.531,117.443,54.40833333333334,-25.401593333333334,-4.93106
29,2020-10-12 12:00:00,1.3953333333333333,9.469666666666667,7.180666666666667,130.79433333333336,40.25233333333333,115.80733333333335,52.45866666666666,-25.408323333333332,-4.945416666666667
30,2020-10-12 15:00:00,1.4226666666666665,9.187333333333333,6.998,122.30566666666668,39.345666666666666,111.49366666666667,52.85466666666667,-25.42073333333333,-4.96365
31,2020-10-12 18:00:00,1.4503333333333333,9.469666666666667,6.886666666666667,125.77500000000002,44.278333333333336,113.425,53.55566666666667,-25.442243333333334,-4.97754
32,2020-10-12 21:00:00,1.4573333333333334,9.469666666666667,7.041666666666667,125.09533333333333,45.909333333333336,118.71833333333335,55.31033333333334,-25.46090666666667,-4.986953333333333
