;tgt_1;tgt_2;tgt_3;tgt_4;tgt_5;tgt_6;tgt_7;tgt_8;tgt_9;tgt_10;tgt_11;tgt_12;tgt_13;tgt_14;tgt_15;tgt_16;tgt_17;tgt_18;tgt_19;tgt_20;tgt_21;tgt_22;tgt_23;tgt_24;tgt_25;tgt_26;tgt_27;tgt_28;tgt_29;tgt_30;tgt_31;tgt_32;tgt_33;tgt_34;tgt_35;tgt_36;tgt_37;tgt_38;tgt_39;tgt_40;tgt_41;tgt_42;tgt_43;tgt_44;tgt_45;tgt_46;tgt_47
126;0,17999999999999972;0,2700000190734868;0,21999999999999975;0,010000000000000231;0,040000000000000036;0,0;0,029999999999999805;-0,1299999999999999;-0,2200000000000002;-0,16999999999999993;-0,34999999999999964;-0,43999999999999995;-0,4700000000000002;0,020000000000000018;-0,16999998092651358;-0,1599999809265129;0,3500000000000001;0,5099999999999998;0,5700000190734862;0,009999999999999787;0,52;0,3400000000000003;0,3999999999999999;-0,020000000000000018;0,06000000000000005;0,08000000000000007;0,1499999999999999;0,16000000000000014;0,1300000190734858;-0,10999999999999988;-0,13000000000000034;-0,1200000000000001;-0,040000000000000036;-0,04999999999999982;-0,2400000000000002;-0,029999999999999805;-0,08999999999999986;0,27;0,30000000000000027;0,6000000000000001;0,2999999999999998;0,30000000000000027;0,43000000000000016;0,56;0,22999999999999998;-0,020000000000000018;-0,07000000000000028
127;0,17999999999999972;0,2700000190734868;0,21999999999999975;0,010000000000000231;0,040000000000000036;0,0;0,029999999999999805;-0,1299999999999999;-0,2200000000000002;-0,16999999999999993;-0,34999999999999964;-0,43999999999999995;-0,4700000000000002;0,020000000000000018;-0,16999998092651358;-0,1599999809265129;0,3500000000000001;0,5099999999999998;0,5700000190734862;0,009999999999999787;0,52;0,3400000000000003;0,3999999999999999;-0,020000000000000018;0,06000000000000005;0,08000000000000007;0,1499999999999999;0,16000000000000014;0,1300000190734858;-0,10999999999999988;-0,13000000000000034;-0,1200000000000001;-0,040000000000000036;-0,04999999999999982;-0,2400000000000002;-0,029999999999999805;-0,08999999999999986;0,27;0,30000000000000027;0,6000000000000001;0,2999999999999998;0,30000000000000027;0,43000000000000016;0,56;0,22999999999999998;-0,020000000000000018;-0,07000000000000028
128;0,009999999999999787;-0,010000000000000231;-0,020000000000000018;-0,13999998092651422;-0,26999998092651367;-0,19999998092651428;-0,33999999999999986;-0,6400000000000001;-0,5400000000000005;-0,020000000000000018;-0,1499999999999999;-0,10999998092651353;0,3999999999999999;0,540000009536743;0,5699999999999998;-0,020000000000000018;0,5;0,3200000000000003;0,3899999999999997;-0,20999999999999996;-0,1200000000000001;-0,08999999999999986;0,020000000000000018;0,10999999999999988;0,2200000000000002;0,14000000000000012;0,17999999999999972;0,20000000000000018;0,14000001907348558;-0,06999999999999984;-0,3600000000000003;-0,29000000000000004;-0,3799999999999999;-0,08999999999999986;-0,029999999999999805;0,3700000000000001;0,18999999999999995;0,3700000000000001;0,2599999999999998;0,3700000000000001;-0,020000000000000018;-0,21999999999999975;-0,16000000000000014;-0,2799999999999998;-0,4700000000000002;-0,6499999999999999;-0,38000000000000034
129;0,009999999999999787;-0,010000000000000231;-0,020000000000000018;-0,13999998092651422;-0,26999998092651367;-0,19999998092651428;-0,33999999999999986;-0,6400000000000001;-0,5400000000000005;-0,020000000000000018;-0,1499999999999999;-0,10999998092651353;0,3999999999999999;0,540000009536743;0,5699999999999998;-0,020000000000000018;0,5;0,3200000000000003;0,3899999999999997;-0,20999999999999996;-0,1200000000000001;-0,08999999999999986;0,020000000000000018;0,10999999999999988;0,2200000000000002;0,14000000000000012;0,17999999999999972;0,20000000000000018;0,14000001907348558;-0,06999999999999984;-0,3600000000000003;-0,29000000000000004;-0,3799999999999999;-0,08999999999999986;-0,029999999999999805;0,3700000000000001;0,18999999999999995;0,3700000000000001;0,2599999999999998;0,3700000000000001;-0,020000000000000018;-0,21999999999999975;-0,16000000000000014;-0,2799999999999998;-0,4700000000000002;-0,6499999999999999;-0,38000000000000034
130;0,009999999999999787;-0,010000000000000231;-0,020000000000000018;-0,13999998092651422;-0,26999998092651367;-0,19999998092651428;-0,33999999999999986;-0,6400000000000001;-0,5400000000000005;-0,020000000000000018;-0,1499999999999999;-0,10999998092651353;0,3999999999999999;0,540000009536743;0,5699999999999998;-0,020000000000000018;0,5;0,3200000000000003;0,3899999999999997;-0,20999999999999996;-0,1200000000000001;-0,08999999999999986;0,020000000000000018;0,10999999999999988;0,2200000000000002;0,14000000000000012;0,17999999999999972;0,20000000000000018;0,14000001907348558;-0,06999999999999984;-0,3600000000000003;-0,29000000000000004;-0,3799999999999999;-0,08999999999999986;-0,029999999999999805;0,3700000000000001;0,18999999999999995;0,3700000000000001;0,2599999999999998;0,3700000000000001;-0,020000000000000018;-0,21999999999999975;-0,16000000000000014;-0,2799999999999998;-0,4700000000000002;-0,6499999999999999;-0,38000000000000034
131;0,009999999999999787;-0,010000000000000231;-0,020000000000000018;-0,13999998092651422;-0,26999998092651367;-0,19999998092651428;-0,33999999999999986;-0,6400000000000001;-0,5400000000000005;-0,020000000000000018;-0,1499999999999999;-0,10999998092651353;0,3999999999999999;0,540000009536743;0,5699999999999998;-0,020000000000000018;0,5;0,3200000000000003;0,3899999999999997;-0,20999999999999996;-0,1200000000000001;-0,08999999999999986;0,020000000000000018;0,10999999999999988;0,2200000000000002;0,14000000000000012;0,17999999999999972;0,20000000000000018;0,14000001907348558;-0,06999999999999984;-0,3600000000000003;-0,29000000000000004;-0,3799999999999999;-0,08999999999999986;-0,029999999999999805;0,3700000000000001;0,18999999999999995;0,3700000000000001;0,2599999999999998;0,3700000000000001;-0,020000000000000018;-0,21999999999999975;-0,16000000000000014;-0,2799999999999998;-0,4700000000000002;-0,6499999999999999;-0,38000000000000034
132;0,5100000000000002;0,3200000000000003;0,3500000000000001;-0,06000000000000005;-0,010000000000000231;0,009999999999999787;0,07000000476837132;0,1299999999999999;0,2200000000000002;0,14000000000000012;0,18999999999999995;0,29000000000000004;0,3699999999999999;0,33000000000000007;0,09999999999999987;0,16000000476837184;-0,08999999999999986;0,04999999999999982;0,0;0,30000000000000027;0,029999999999999805;0,14000000000000012;0,25;0,41000000000000014;0,08999999999999986;-0,040000000000000036;0,06999999999999984;0,07000000000000028;0,0;-0,06999999999999984;0,22000000476837123;0,08000001907348597;0,5500000190734862;0,3799999999999999;0,3700000000000001;0,20000000000000018;0,43999999999999995;0,3100000190734864;0,49000001907348656;0,15000000000000036;0,18999999999999995;0,5099999999999998;0,20000000000000018;0,32000001907348574;0,48;0,3500000000000001;0,21999999999999975
133;0,3500000000000001;-0,06000000000000005;0,0;-0,040000000000000036;0,0;0,08999999999999986;0,18000000000000016;0,10999999999999988;0,17999999999999972;0,28000000000000025;0,3799999999999999;0,3600000000000001;0,09999999999999987;0,23000000476837168;-0,029999999999999805;0,08999999999999986;0,020000000000000018;0,30000000000000027;0,029999999999999805;0,14000000000000012;0,31000000000000005;0,4500000000000002;0,10999999999999988;-0,009999999999999787;0,08999999999999986;0,020000000000000018;-0,020000000000000018;-0,06999999999999984;0,19999999999999973;0,07000000000000028;0,45999999999999996;0,18000000000000016;0,21000000953674292;0,08000000000000007;0,43999999999999995;0,41000000000000014;0,6800000000000002;0,3400000000000003;0,2899999999999996;0,43999999999999995;0,1299999999999999;0,33000000000000007;0,49000001907348567;0,3500000000000001;0,20999999999999952;0,06999999999999984;0,10999999999999988
134;-0,020000000000000018;-0,040000000000000036;4,76837147544984e-09;0,040000000000000036;0,1499999999999999;0,06999999999999984;0,1299999999999999;0,2400000000000002;0,2999999999999998;0,30000000000000004;0,06999999999999984;0,15000000000000036;-0,11999999046325671;0,11000000476837135;0,16000000000000014;0,5300000000000002;0,25;0,2200000000000002;0,29000000000000004;0,4700000000000002;0,2200000000000002;0,050000000000000266;0,19999999999999973;0,13000000000000034;-0,010000000000000231;-0,10000000000000009;0,17999999999999972;0,07000000000000028;0,38000001907348624;0,06999999999999984;0,19999999999999973;0,16000000000000014;0,48999999999999977;0,2900000190734864;0,5000000190734859;0,1800000190734865;0,20000001907348608;0,3799999999999999;0,20999999999999996;0,41000000000000014;0,6099999999999999;0,4500000000000002;0,20000001907348608;0,04000001907348549;0,04999999999999982;-0,3599999809265144;-0,6200000000000001
135;-0,020000000000000018;-0,040000000000000036;4,76837147544984e-09;0,040000000000000036;0,1499999999999999;0,06999999999999984;0,1299999999999999;0,2400000000000002;0,2999999999999998;0,30000000000000004;0,06999999999999984;0,15000000000000036;-0,11999999046325671;0,11000000476837135;0,16000000000000014;0,5300000000000002;0,25;0,2200000000000002;0,29000000000000004;0,4700000000000002;0,2200000000000002;0,050000000000000266;0,19999999999999973;0,13000000000000034;-0,010000000000000231;-0,10000000000000009;0,17999999999999972;0,07000000000000028;0,38000001907348624;0,06999999999999984;0,19999999999999973;0,16000000000000014;0,48999999999999977;0,2900000190734864;0,5000000190734859;0,1800000190734865;0,20000001907348608;0,3799999999999999;0,20999999999999996;0,41000000000000014;0,6099999999999999;0,4500000000000002;0,20000001907348608;0,04000001907348549;0,04999999999999982;-0,3599999809265144;-0,6200000000000001
136;0,20999999999999996;0,1299999999999999;0,22999999999999998;0,33000000000000007;0,3799999999999999;0,3900000000000001;0,1699999999999997;0,2700000047683717;-0,040000000000000036;0,26;0,28000000000000025;0,5500000000000003;0,1600000095367431;0,21000000476837144;0,3599999999999999;0,5700000000000003;0,26000000000000023;0,0900000000000003;0,1299999999999999;0,050000000000000266;0,0;-0,1499999999999999;0,21999999999999975;0,1900000000000004;0,6999999999999997;0,6499999999999999;0,7599999999999998;0,5100000000000002;0,5000000190734863;0,10999999999999988;0,5300000095367432;0,18999999999999995;0,20999999999999996;0,45999999999999996;0,28000000000000025;0,3700000000000001;0,5300000190734857;0,33999999999999986;0,1599999999999997;-0,040000000000000036;-0,020000000000000018;-0,27;-0,4099999809265138;0,04000001907348549;-0,5200000000000005;-0,6699999809265142;-0,8900000000000001
137;0,22999999999999998;0,3400000000000001;0,4099999999999999;0,4099999999999999;0,18999999999999972;0,29000000000000004;0,07000000000000006;0,21000000953674336;0,18000000000000016;0,5900000000000001;0,33999999999999986;0,3200000000000003;0,3000000095367432;0,48000000476837146;0,22999999999999998;0,17000000000000037;0,22999999999999998;0,07000000000000028;-0,06000000000000005;-0,1299999999999999;0,20999999999999996;0,0900000000000003;0,7199999999999998;0,7000000000000002;0,7799999999999998;0,5800000000000001;0,7999999999999998;0,6200000000000001;0,5700000190734866;0,0;0,3200000095367428;0,5599999999999996;0,2400000000000002;0,3500000000000001;0,49000001907348567;0,32000001907348574;0,1599999999999997;0,009999999999999787;0,03000000000000025;-0,2400000000000002;-0,29000000000000004;-0,07999998092651328;-0,5299999809265139;-0,5399999809265144;-0,6700000000000004;-0,7299999809265143;-0,81
138;0,22999999999999998;0,3400000000000001;0,4099999999999999;0,4099999999999999;0,18999999999999972;0,29000000000000004;0,07000000000000006;0,21000000953674336;0,18000000000000016;0,5900000000000001;0,33999999999999986;0,3200000000000003;0,3000000095367432;0,48000000476837146;0,22999999999999998;0,17000000000000037;0,22999999999999998;0,07000000000000028;-0,06000000000000005;-0,1299999999999999;0,20999999999999996;0,0900000000000003;0,7199999999999998;0,7000000000000002;0,7799999999999998;0,5800000000000001;0,7999999999999998;0,6200000000000001;0,5700000190734866;0,0;0,3200000095367428;0,5599999999999996;0,2400000000000002;0,3500000000000001;0,49000001907348567;0,32000001907348574;0,1599999999999997;0,009999999999999787;0,03000000000000025;-0,2400000000000002;-0,29000000000000004;-0,07999998092651328;-0,5299999809265139;-0,5399999809265144;-0,6700000000000004;-0,7299999809265143;-0,81
139;0,22999999999999998;0,3400000000000001;0,4099999999999999;0,4099999999999999;0,18999999999999972;0,29000000000000004;0,07000000000000006;0,21000000953674336;0,18000000000000016;0,5900000000000001;0,33999999999999986;0,3200000000000003;0,3000000095367432;0,48000000476837146;0,22999999999999998;0,17000000000000037;0,22999999999999998;0,07000000000000028;-0,06000000000000005;-0,1299999999999999;0,20999999999999996;0,0900000000000003;0,7199999999999998;0,7000000000000002;0,7799999999999998;0,5800000000000001;0,7999999999999998;0,6200000000000001;0,5700000190734866;0,0;0,3200000095367428;0,5599999999999996;0,2400000000000002;0,3500000000000001;0,49000001907348567;0,32000001907348574;0,1599999999999997;0,009999999999999787;0,03000000000000025;-0,2400000000000002;-0,29000000000000004;-0,07999998092651328;-0,5299999809265139;-0,5399999809265144;-0,6700000000000004;-0,7299999809265143;-0,81
